State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Literacy rate,Male_Literate %,Female_Literate %,Sex Ratio
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,856350,626997,5512,45202,597466,220248,54.112282803506005,62.525691864103095,45.71141741066547,1001.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,1338474,972486,8606,48299,902997,341431,56.62524368143473,64.83299790021289,48.222773079949796,977.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1484794,1183084,13763,67087,907970,395900,63.915598802509976,71.03584147767394,56.77367961379364,997.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,1716933,1571644,22411,93784,1199479,406362,63.80264152466215,66.81484289143273,60.80782849855761,1006.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,1634726,1325715,19383,80434,1069877,513113,60.56780404651324,66.98266476707228,54.170691523528866,1003.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1542688,1349467,149034,274653,0,1066289,73.34309160066269,76.4246064674337,70.11136003258608,954.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1257238,949591,8831,46584,877236,288044,58.43940143035361,66.84591663122076,50.097944097212874,1008.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,901640,728594,8628,42171,669262,201363,58.27738196949277,64.82011347330099,51.80626600738633,1011.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,1598959,1410759,30438,101450,909292,567042,66.62503503122815,70.5202712387673,62.69975906912951,992.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,1246369,880792,10081,56478,783853,306982,52.47762222080231,61.119679172549205,43.7283416640354,988.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,1158386,782260,6153,60812,848963,161052,47.881386459703705,56.49599636361153,39.061399890744326,977.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,953406,683731,8635,47170,593653,195479,53.972356070376435,62.59929220041628,45.27246338042904,992.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,1160757,840262,7715,53777,833504,197433,57.35536109887357,65.96064717474763,48.59710925792797,983.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,790214,599596,5261,35036,565165,155133,54.47383428675576,63.184718876160304,46.098159905404344,1040.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,1107686,796749,6151,43611,873486,214089,56.054868242280676,64.5969941053113,47.3498886303073,981.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,857824,637557,3988,32280,752752,149684,55.32067829917643,63.93379333372089,46.831808405613145,1015.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,1238388,707503,530885,4453,24128,592458,157056,52.82157106455435,60.91407750648528,44.8762761021372,1019.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,1179790,885233,12952,59006,758738,288249,58.78941836418628,67.06091863664759,50.4896780062682,997.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,1379223,1273166,12050,55613,1007255,248373,67.37139716218022,70.19239479713657,64.56059893065483,1004.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,73174,44027,29147,170,1486,33422,6498,49.3665079000985,57.2165618339658,40.892000336709785,926.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,38449,21599,16850,57,885,14503,5215,48.861354682933026,55.70341715022566,42.21470625078291,1029.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,62576,34210,28366,450,1582,19497,9524,63.07174390710988,68.26163301141352,57.77424742352031,980.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,36606,20258,16348,95,969,18603,1092,39.756288283591815,44.7018844609206,34.963000983788874,1032.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,83062,48380,34682,312,1471,33599,11372,56.998751080795465,63.473321000774064,49.89856844831307,912.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,31849,18087,13762,207,742,12000,3950,58.89238165680474,64.47438776601433,52.87585968417413,928.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,54057,29470,24587,381,1598,18112,5365,65.1053835962905,70.42994049183854,59.696020589020804,984.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,121048,65794,55254,2477,7418,20308,30180,68.55408244748631,73.77497701329865,63.22619033996636,980.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,26073,17720,8353,96,494,10730,2452,52.169998199171616,60.786936983293884,40.10851819840584,714.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,47974,29313,18661,98,888,18420,6500,42.843491850859564,50.88709117422401,34.32160526751393,944.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,18195,10723,7472,97,392,8569,2182,51.514722536806346,57.34531258356061,44.95517718548824,889.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,45278,24807,20471,139,750,14542,4672,54.25893969897421,59.40658077494133,49.10290237467018,998.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,29566,18926,202,887,17889,6306,57.76501840446948,64.05806521503628,50.079381879762906,819.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,36777,27969,303,1300,22272,8503,57.66784829969539,63.22548480264063,51.692973052896164,930.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,499038,398020,2078,25286,447189,52192,52.9668367557814,57.55890399582931,48.15041530670757,953.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,434078,237114,196964,2523,12959,181923,38470,58.75414859692151,63.09277362978889,54.26214785143229,966.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,639946,534182,5316,37541,346227,88933,67.61007176596797,72.20552328598959,62.82033038821262,959.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,268666,218373,1166,12084,268517,20189,52.4543887991384,56.52877398884431,48.18181617600011,954.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,423028,237761,185267,1192,10410,211758,16504,61.65393589872517,67.69015712500249,55.32273861994004,953.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,491361,393170,8817,34479,299852,77163,66.68986342062902,72.63990278430713,60.49690645190575,961.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,563577,304302,259275,1364,13524,228610,39504,55.90026810608788,59.284383937407945,52.39032433404528,964.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,721764,396475,325289,3073,17636,292893,34190,67.6513373475004,72.99401098385194,62.11041248589437,964.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,407366,226836,180530,1211,10615,159215,16202,61.78802844245984,67.13309065080352,56.16883318917506,951.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,794929,432335,362594,5651,26357,286330,80824,72.7786343128351,77.64567487720117,67.71749422449487,962.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,995319,550219,445100,3109,23468,390596,43849,65.58757517090137,70.68035521368444,60.223439650051894,949.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,557214,314253,242961,1923,11340,215691,37185,58.26690633715113,64.1114150891431,52.12122382257919,951.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,795297,435942,359355,1933,24699,261945,32695,64.72744053403392,69.6544297163601,59.612124308668236,963.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,452905,434237,489305,275220,214085,1218,14063,204896,17115,55.15520626912039,60.76771066780009,49.30141834988727,959.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,683486,375552,307934,1948,15011,293239,34694,65.58504304136596,70.90247963841911,60.089021061032696,968.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1439112,1384656,1710716,921850,788866,5121,45956,674999,124186,60.582739091880065,64.05686284319775,56.97198437734715,962.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,531771,293184,238587,1631,12360,210706,28238,68.91447943921963,74.03524189027439,63.51598501729081,949.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,1108572,620525,488047,4358,31254,483325,64528,57.614793333021495,63.06763668000131,51.90851792054082,956.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,680231,647698,798322,453449,344873,5135,27948,290704,90910,60.11782256430879,66.66103132612304,53.24595722080352,952.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1463333,1348236,1195768,727643,468125,2561,29796,659061,44213,42.530274021373835,49.72504549545456,34.721295084836775,921.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,1318684,1221389,1466002,868733,597269,2362,31168,428291,49006,57.71495543632014,65.87878521313674,48.90080064582209,926.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,1924469,1776813,2503837,1430936,1072901,23258,69937,551789,427343,67.64783121091557,74.35484801262062,60.383450593844145,923.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,1318684,1221389,1466002,868733,597269,2362,31168,428291,49006,57.71495543632014,65.87878521313674,48.90080064582209,926.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,1924469,1776813,2503837,1430936,1072901,23258,69937,551789,427343,67.64783121091557,74.35484801262062,60.383450593844145,923.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1067140,967623,965321,590961,374360,1704,22300,425604,18492,47.44144649770023,55.37801975373428,38.68862149824881,907.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,1567660,1402881,1548673,918507,630166,4644,43127,594377,139248,52.13437552284247,58.5909572228672,44.91941939480255,895.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,1615663,1422103,1573066,937669,635397,6764,46929,522527,130634,51.78364627163514,58.03617462304948,44.68009701125727,880.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,1430380,1298027,1599151,973486,625665,3661,34658,434559,77368,58.61116028510409,68.05785875082147,48.201231561439016,907.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,887977,818375,989807,593544,396263,1784,19324,299252,35405,58.00719898356259,66.84227181559883,48.420711776386135,922.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,2059949,1877436,1816634,1125566,691068,6280,53205,907174,95539,46.138084032930486,54.640478963314145,36.80913756847104,911.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,2266566,2124852,2297613,1368803,928810,6856,57011,696289,111282,52.32052608064184,60.39104972014934,43.711750277195776,937.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,1267666,1294346,1382998,793905,589093,3707,33596,515925,38133,53.98093373489273,62.62730088209355,45.512791788285355,1021.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,916064,844341,858588,534385,324203,1839,22414,325909,30851,48.77218594584769,58.33489799839312,38.3971641789277,922.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,585582,539731,618881,374412,244469,1106,11302,186660,28132,54.99634323961422,63.93844073076017,45.294600458376486,922.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,1600430,1470599,1280190,762256,517934,2941,27263,668232,69838,41.68602771253544,47.62819992127116,35.21925419505929,919.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,883786,783100,768028,461153,306875,1580,21654,373696,21007,46.07561644887533,52.179260590233376,39.18720469927212,886.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,866970,823430,745056,439921,305135,1093,14073,401793,43357,44.07572172266919,50.74235556016933,37.056580401491324,950.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,526345,474567,507270,305182,202088,1186,8862,175882,31763,50.68077912943396,57.98136203440709,42.58366047365282,902.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1047559,954203,834577,517666,316911,1397,23309,486278,24000,41.692119242946966,49.41640518576997,33.21211524172529,911.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,2329313,2158066,2155338,1340085,815253,5319,65548,1047552,41234,48.03111125670464,57.531340785888375,37.77701886781961,926.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,729041,638724,801817,473741,328076,2653,17946,222281,85782,58.62242417374329,64.98139336470788,51.36428253831076,876.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,2527497,2273565,2509232,1487117,1022115,10290,73012,998694,120700,52.264103233826184,58.83753769045027,44.95648903814054,900.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,1497060,1380593,1519933,919558,600375,4156,43848,514141,102522,52.818494794195125,61.42425821276368,43.486748085786324,922.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1144668,1074478,1091012,659474,431538,1841,28411,379551,45323,49.163597167559054,57.61268769634514,40.162571965177506,939.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,2061110,1873932,1759481,1091226,668255,3495,41143,839514,96620,44.713144103671574,52.943608055853396,35.66057893242658,909.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,3078512,2759953,3459679,2028047,1431632,40692,132582,657991,552103,59.25665393215511,65.87750835468565,51.87160795854132,897.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,2681209,2418162,2276957,1407603,869354,7719,70258,1142260,101565,44.65172273207813,52.49881676512349,35.95102395951967,902.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,1699370,1565249,1332326,805261,527065,4170,33664,712847,85749,40.81107167482637,47.385854757939704,33.672917216366216,921.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,1543546,1416372,1799832,1061783,738049,4594,36279,512383,95678,60.806819648382145,68.7885557022596,52.10841502091258,918.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,997174,903487,804996,506374,298622,1668,19415,432651,38046,42.35347597493714,50.78090684273757,33.052163451161995,906.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,2230003,2031563,2142880,1293575,849305,5379,50918,1012979,43486,50.28386278659066,58.00776949627422,41.80549655609991,911.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,2022821,1929041,2157454,1285767,871687,4509,37442,701323,76299,54.59335371528662,63.5630636620838,45.18758284556938,954.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,329743,306599,328676,196431,132245,631,8873,108293,24345,51.65084184290837,59.57093857943914,43.132886930485746,930.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,346673,309573,283698,171645,112053,478,6698,158484,7516,43.23043492836528,49.51207622168441,36.19598608405772,893.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,1803252,1620322,1436794,885188,551606,3460,42461,807294,49670,41.96766303284229,49.0884246905036,34.042986517494676,899.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,1675090,1655374,1930175,1115906,814269,3834,37833,632514,41858,57.95513778260326,66.6176742742181,49.18942788759519,988.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1155283,1073793,1033283,647672,385611,1845,25078,572287,27815,46.35476762568885,56.06176149047462,35.911111359451965,929.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,1844535,1650486,1926740,1152576,774164,4810,39564,699317,51494,55.12813799974307,62.48599240458977,46.90521458527973,895.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,580663,474787,805438,465346,340092,44283,78113,8911,289456,76.31228385996495,80.14046012919714,71.63043638515798,818.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,698487,714712,650863,382335,268528,1782,9042,316425,54894,46.05600485140451,54.737597120633595,37.57149733039322,1023.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,192764,189192,287620,155599,132021,1574,6281,152458,11987,75.3018672307805,80.71994770807828,69.78149181783586,981.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,1351574,1312055,1596560,932474,664086,8566,30892,549632,188174,59.939278330428145,68.99170892603735,50.61418919176407,971.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,192764,189192,287620,155599,132021,1574,6281,152458,11987,75.3018672307805,80.71994770807828,69.78149181783586,981.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,1351574,1312055,1596560,932474,664086,8566,30892,549632,188174,59.939278330428145,68.99170892603735,50.61418919176407,971.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,397897,401884,546833,303924,242909,1016,4804,168689,41792,68.37284206551544,76.38258142182525,60.442565516417666,1010.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,1682101,1661771,2303378,1284612,1018766,16141,51289,533448,349741,68.88355774383709,76.3694926761235,61.306040362962165,988.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,424747,426922,495415,280656,214759,567,5755,205670,20722,58.16989933882765,66.0760405606161,50.304036802975716,1005.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,612915,593725,748759,433391,315368,4544,18004,206598,126055,62.05322217065571,70.70980478532913,53.1168470251379,969.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,334737,324180,397823,229923,167900,1667,7609,121852,59763,60.375282471085136,68.68765627940742,51.79221420198655,968.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,511967,520787,637963,364089,273874,961,5614,274793,35774,61.772987565286606,71.11571644266135,52.58848627173873,1017.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,750278,743706,951639,542756,408883,3342,13857,354278,66638,63.6980717330306,72.34065239817774,54.97911809236445,991.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,1344345,1289855,1939994,1059692,880302,38570,96301,581868,377160,73.64642016551515,78.82589662623806,68.24813641843464,959.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,750278,743706,951639,542756,408883,3342,13857,354278,66638,63.6980717330306,72.34065239817774,54.97911809236445,991.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,1344345,1289855,1939994,1059692,880302,38570,96301,581868,377160,73.64642016551515,78.82589662623806,68.24813641843464,959.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,2048186,2015686,2629749,1493158,1136591,20261,59523,673499,395001,64.71042887177549,72.90148453314299,56.38730437181187,984.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,1193129,1166757,1187941,694686,493255,2737,18983,525596,65167,50.33891467638691,58.22388023424122,42.27572665087932,978.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,124659,66514,150348,104316,46032,1316,4543,10006,61073,78.64499693994445,83.6810819916733,69.20648284571669,534.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,1404356,1338726,1842818,1046981,795837,6628,26991,489237,287506,67.18056550988997,74.55239269814776,59.44734023242994,953.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,1404356,1338726,1842818,1046981,795837,6628,26991,489237,287506,67.18056550988997,74.55239269814776,59.44734023242994,953.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,416677,401331,663060,351738,311322,23440,56266,115859,209230,81.05788696443066,84.41502650734262,77.57237791249617,963.0
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,322463,318074,502427,264085,238342,17624,44299,88620,162873,78.43840402662141,81.89621755054068,74.93287725497841,986.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,3788051,3426174,5435760,3025463,2410297,126341,273651,353169,1845383,75.34780243200066,79.86859205433085,70.34952106927436,904.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,771049,743141,995459,558180,437279,2538,12765,313714,116899,65.74201388200952,72.39228635274802,58.84199633716886,964.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,1087224,1005521,1551253,874481,676772,9902,32523,413078,208909,74.12527565470232,80.43245918044487,67.30560575065066,925.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,1610379,1510127,1704923,1048402,656521,3424,23149,666773,137424,54.63610709288814,65.1028112015867,43.47455545129648,938.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,805707,745312,1118276,623047,495229,10257,29531,300677,181319,72.09943914291186,77.32922762244836,66.44586428234082,925.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,1490201,1390164,1887255,1087371,799884,7297,28925,387251,356826,65.52138357465113,72.96807611859072,57.5388227576027,933.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,723864,667889,1030494,582686,447808,12107,33662,237624,195634,74.04287973512541,80.49661262336572,67.048267002451,923.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,1114192,1045927,1396534,795140,601394,11573,30384,347158,299167,64.65079007221361,71.36471990464838,57.49865908423819,939.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,1096737,995634,1252319,739239,513080,9631,31961,488293,250982,59.851670664523645,67.40348871242604,51.53299304764602,908.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,1185727,1114158,1660243,942480,717763,5710,24502,461479,160547,72.18808766525284,79.48541274677898,64.42201195880656,940.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,1056520,978544,1502645,847499,655146,7759,33731,476005,183738,73.83772697074883,80.21608677545147,66.95110286302915,926.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,301086,289211,370336,211767,158569,576,4081,138121,22248,62.73723227460075,70.33438950997389,54.82813585928613,961.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,678165,651507,1001909,539471,462438,6726,24397,267739,141417,75.35008633708162,79.54863491923057,70.97974388609792,961.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,1226961,1163815,1440805,858054,582751,3456,19753,463363,104238,60.26516076788457,69.93327416274845,50.07247715487427,949.0
